epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9861.83,0.97697,0.4317,1.01551,0.97451,0.96847,0.97716,0.57634,1.47438,0.52415,1.21102,0.0004952,0.0004952,0.0004952
78,10032,0.97735,0.43341,1.01552,0.98425,0.95703,0.97977,0.5716,1.48116,0.52394,1.21515,0.0004754,0.0004754,0.0004754
79,10206.6,0.96898,0.43029,1.01485,0.9765,0.95315,0.97238,0.57252,1.46442,0.52637,1.22319,0.0004556,0.0004556,0.0004556
80,10376.7,0.96427,0.42887,1.01136,0.96402,0.94143,0.96074,0.56671,1.47158,0.53226,1.23025,0.0004358,0.0004358,0.0004358
81,10548.6,0.96304,0.42824,1.01067,0.97673,0.94414,0.96848,0.56033,1.51141,0.52566,1.25281,0.000416,0.000416,0.000416
82,10720.2,0.95723,0.42664,1.00904,0.98379,0.95586,0.97558,0.56254,1.48601,0.53553,1.21652,0.0003962,0.0003962,0.0003962
83,10892.4,0.9595,0.42726,1.0094,0.98041,0.95315,0.97023,0.56955,1.48314,0.534,1.22141,0.0003764,0.0003764,0.0003764
84,11065.6,0.95046,0.4229,1.00491,0.98488,0.96216,0.97461,0.57201,1.47273,0.53248,1.21853,0.0003566,0.0003566,0.0003566
85,11238.5,0.94999,0.42456,1.00636,0.98275,0.96036,0.97295,0.57352,1.48321,0.52429,1.21911,0.0003368,0.0003368,0.0003368
86,11411.4,0.94219,0.41858,1.00535,0.97592,0.94775,0.96859,0.56425,1.47476,0.53527,1.23427,0.000317,0.000317,0.000317
87,11586.2,0.94425,0.42024,1.00324,0.98518,0.9584,0.97684,0.57399,1.46022,0.52398,1.21157,0.0002972,0.0002972,0.0002972
88,11757.6,0.93736,0.41729,1.00243,0.98248,0.96004,0.97625,0.56296,1.48789,0.52581,1.23583,0.0002774,0.0002774,0.0002774
89,11930.8,0.93767,0.41862,1.00045,0.97977,0.9598,0.97287,0.57063,1.47671,0.52328,1.23114,0.0002576,0.0002576,0.0002576
90,12104.3,0.93161,0.41465,1.00092,0.98254,0.95495,0.97355,0.56476,1.49099,0.52735,1.23634,0.0002378,0.0002378,0.0002378
91,12268.1,0.87718,0.37688,0.98537,0.9653,0.94775,0.96281,0.55595,1.49108,0.52631,1.24364,0.000218,0.000218,0.000218
92,12432.8,0.86295,0.37191,0.98091,0.97815,0.95135,0.96802,0.56592,1.48646,0.52075,1.24266,0.0001982,0.0001982,0.0001982
93,12601.7,0.85335,0.37004,0.97707,0.97537,0.95045,0.96761,0.55972,1.50337,0.52517,1.25591,0.0001784,0.0001784,0.0001784
94,12770.2,0.84592,0.36761,0.97507,0.98081,0.95405,0.97194,0.5653,1.49626,0.52159,1.24731,0.0001586,0.0001586,0.0001586
95,12935.8,0.84287,0.36771,0.97279,0.97264,0.95315,0.96888,0.56493,1.494,0.52328,1.25478,0.0001388,0.0001388,0.0001388
96,13102.3,0.8385,0.36461,0.97437,0.97702,0.95225,0.9702,0.56741,1.48244,0.52094,1.24917,0.000119,0.000119,0.000119
97,13269,0.83277,0.36246,0.97001,0.97563,0.95225,0.96976,0.56708,1.49048,0.52645,1.24886,9.92e-05,9.92e-05,9.92e-05
98,13436.2,0.82762,0.36099,0.96931,0.977,0.95225,0.97,0.56984,1.48156,0.5308,1.2422,7.94e-05,7.94e-05,7.94e-05
99,13602.7,0.82495,0.35998,0.96685,0.97708,0.95676,0.97196,0.56934,1.48702,0.53072,1.25333,5.96e-05,5.96e-05,5.96e-05
100,13769.7,0.82404,0.3588,0.96721,0.97459,0.95315,0.96866,0.56852,1.49165,0.52981,1.25687,3.98e-05,3.98e-05,3.98e-05
